time T E_n E_d E_v E_b S_v rb r rv bm
0 1000.000000 41716.860153 1944.333999 0.000000 39772.526154 0.000000 -0.770796 1.676335 1.676335 -1.676335
1 1000.000000 41316.745092 1544.218938 0.000000 39772.526154 -1.944334 -0.770796 3.119640 3.119640 3.119640
2 1000.000000 38728.159653 -1044.366501 0.000000 39772.526154 -3.488553 -0.770796 0.215145 0.215145 0.215145
3 59873.908756 39269.298314 541.138661 -1044.366501 39772.526154 -3.488553 -0.770796 5.789630 5.574485 -163.084408
4 28775.683214 42063.955095 2794.656781 -503.227840 38728.159653 -3.497591 0.215145 3.087610 -2.702020 -40.293166
5 1000.000000 41489.965705 -573.989389 2291.428941 38728.159653 -3.594710 0.215145 3.196207 0.108597 0.108597
6 1000.000000 37828.611137 -3661.354568 1717.439552 38728.159653 -3.594710 0.215145 0.700707 -2.495499 -2.495499
7 108154.217260 40078.439706 2249.828569 -1943.915017 38728.159653 -3.594710 0.215145 0.470169 -0.230538 6.052647
8 1000.000000 38874.579879 -1203.859827 305.913552 37828.611137 -3.615512 0.700707 0.311398 -0.158771 -0.781568
9 49671.878431 40734.528594 1859.948715 -897.946274 37828.611137 -3.615512 0.700707 1.814832 1.503433 76.901657
10 1000.000000 40334.357267 -400.171328 962.002441 37828.611137 -3.652956 0.700707 3.056209 1.241378 -4.871041
11 1000.000000 37533.876898 -2800.480369 561.831113 37828.611137 -3.652956 0.700707 2.293757 -0.762453 -0.762453
12 122566.438970 40313.755564 2779.878666 -2238.649256 37828.611137 -3.652956 0.700707 2.115875 -0.177882 -123.790152
13 1000.000000 39862.305185 -451.450379 541.229410 37533.876898 -3.675637 2.293757 4.951671 2.835796 2.835796
14 1000.000000 41357.903324 1495.598140 89.779031 37533.876898 -3.675637 2.293757 3.420147 -1.531523 -1.531523
15 1000.000000 37689.130652 -3668.772672 1585.377170 37533.876898 -5.171235 2.293757 0.362569 -3.057578 -3.782716
16 80576.321609 40858.597683 3169.467031 -2083.395502 37533.876898 -5.171235 2.293757 5.156422 4.793853 -99.766770
17 1000.000000 39529.355575 -1329.242109 1086.071529 37533.876898 -5.210570 2.293757 6.061705 0.905283 0.905283
18 9333.741882 39185.446622 -343.908952 -243.170579 37533.876898 -5.210570 2.293757 5.778737 -0.282968 37.416144
19 22534.176751 39887.218225 701.771603 -587.079531 37533.876898 -5.210570 2.293757 0.475199 -5.303538 -6.253936
20 1000.000000 40073.034562 185.816337 114.692072 37533.876898 -5.241713 2.293757 3.310736 2.835537 2.835537
21 1000.000000 41617.728086 1730.509861 114.692072 37533.876898 -5.427529 2.293757 1.430995 0.955796 0.955796
22 1000.000000 40386.503613 499.285388 114.692072 37533.876898 -7.158039 2.293757 0.445629 -0.029570 -0.029570
23 1000.000000 39523.098506 -863.405107 613.977460 37533.876898 -7.657324 2.293757 0.257633 -0.187996 -0.187996
24 6514.746981 38579.505951 -943.592555 -249.427648 37533.876898 -7.657324 2.293757 5.680058 5.422426 24.271982
25 31160.237609 39909.817668 1330.311717 -1193.020203 37533.876898 -7.657324 2.293757 4.723779 -0.956279 -41.819764
26 1000.000000 37335.141486 -2574.676182 137.291514 37533.876898 -7.700017 2.293757 0.981288 -3.742491 2.540694
27 63308.554744 39861.888131 2526.746645 -2437.384668 37533.876898 -7.700017 2.293757 3.617502 2.636215 40.335327
28 1000.000000 36433.712870 -3428.175261 89.361977 37335.141486 -7.739928 0.981288 3.970041 0.352539 0.352539
29 86275.043271 37090.767660 657.054790 -3338.813284 37335.141486 -7.739928 0.981288 2.298512 -1.671530 149.124918
30 69228.607744 37141.677802 50.910142 -2681.758494 36433.712870 -7.747544 3.970041 5.648123 3.349611 -284.406788
31 67907.935399 39759.833091 2618.155289 -2630.848352 36433.712870 -7.748280 3.970041 2.032351 -3.615772 -120.777809
32 326.013431 42542.718031 2782.884939 -12.693062 36433.712870 -7.786834 3.970041 1.594823 -0.437528 -0.437528
33 155.524226 40333.947034 574.113943 -12.693062 36433.712870 -16.322939 3.970041 2.081365 0.049014 0.049014
34 126.839204 37254.479852 -2505.353239 -12.693062 36433.712870 -20.014415 3.970041 2.629497 0.597146 0.597146
35 25162.326951 40289.420374 3034.940522 -2518.046301 36433.712870 -20.014415 3.970041 2.840107 0.210610 -24.319159
36 1000.000000 40907.502462 618.082088 516.894221 36433.712870 -20.135030 3.970041 3.702547 0.862440 0.862440
37 1000.000000 41686.445283 1397.024909 516.894221 36433.712870 -20.753112 3.970041 1.531347 -1.308759 -1.308759
38 1000.000000 36808.755449 -4877.689834 1913.919129 36433.712870 -22.150137 3.970041 0.820116 -0.711232 -2.351463
39 26760.744133 39517.676834 2708.921385 -2963.770705 36433.712870 -22.150137 3.970041 1.975396 1.155280 -65.627365
40 2290.639967 39004.888295 -512.788539 -254.849320 36433.712870 -22.251364 3.970041 1.079619 -0.895777 -3.055015
41 6899.692566 38254.107896 -750.780400 -767.637859 36433.712870 -22.251364 3.970041 0.793194 -0.286425 12.279945
42 13647.866699 39747.314515 1493.206619 -1518.418258 36433.712870 -22.251364 3.970041 3.017537 2.224343 -22.660287
43 225.498807 39820.821348 73.506833 -25.211639 36433.712870 -22.360774 3.970041 3.033628 0.016090 0.016090
44 1000.000000 41555.970620 1735.149271 48.295194 36433.712870 -22.686748 3.970041 1.535732 -1.497896 -1.497896
45 1000.000000 39699.320804 -121.500544 48.295194 36433.712870 -24.421897 3.970041 2.013962 -1.019666 -1.019666
