time T E_n E_d E_v E_b S_v rb r rv bm
0 1000.000000 149112.008048 1764.624584 0.000000 147347.383464 0.000000 -0.884093 1.676335 1.676335 -1.676335
1 1000.000000 137509.283913 -9838.099551 0.000000 147347.383464 -1.764625 -0.884093 3.119640 3.119640 3.119640
2 1115035.984509 151864.300415 14355.016502 -9838.099551 147347.383464 -1.764625 -0.884093 4.733247 1.613608 240.374650
3 1000.000000 153055.590081 1191.289666 4516.916951 137509.283913 -1.777499 3.119640 2.014807 -2.718441 -2.718441
4 1000.000000 149728.207063 -3327.383018 5708.206617 137509.283913 -2.968788 3.119640 0.617259 -1.397547 -1.397547
5 1000.000000 153107.256632 3379.049569 2380.823598 137509.283913 -2.968788 3.119640 0.725856 0.108597 0.108597
6 1000.000000 156563.144036 6834.936973 2380.823598 137509.283913 -6.347838 3.119640 1.878240 1.260980 -2.495499
7 1000.000000 149446.694126 -281.512937 2380.823598 137509.283913 -13.182775 3.119640 0.673112 0.055852 0.055852
8 1000.000000 150458.680927 1011.986800 2099.310662 137509.283913 -13.182775 3.119640 0.108456 -0.564656 -0.781568
9 1000.000000 148372.418177 -2086.262750 3111.297462 137509.283913 -14.194762 3.119640 1.653615 1.545159 1.545159
10 1000.000000 150167.040899 1794.622722 1025.034712 137509.283913 -14.194762 3.119640 3.217426 1.563811 -4.871041
11 1000.000000 155688.152209 5521.111310 2819.657434 137509.283913 -15.989384 3.119640 2.454973 -0.762453 -0.762453
12 1000.000000 145177.886870 -4989.154029 2819.657434 137509.283913 -21.510496 3.119640 2.209446 -1.007981 -1.007981
13 20171.516537 144707.698063 -470.188806 -2169.496595 137509.283913 -21.510496 3.119640 2.972034 0.762588 57.311256
14 24543.231754 145531.124499 823.426436 -2639.685401 137509.283913 -21.510496 3.119640 3.272829 0.300795 -37.660789
15 16860.890385 153911.891282 8380.766782 -1816.258965 137509.283913 -21.544046 3.119640 4.078704 0.805875 -63.900200
16 1000.000000 146884.292788 -7027.598493 6564.507817 137509.283913 -22.041099 3.119640 2.842985 -1.235719 -1.235719
17 4202.065142 153975.231091 7090.938302 -463.090676 137509.283913 -22.041099 3.119640 0.369667 -2.473318 3.809868
18 3903.229904 149125.961694 2241.668905 -463.090676 137509.283913 -23.728588 3.119640 5.918815 3.075830 15.642201
19 3810.991161 153358.281814 6473.989025 -463.090676 137509.283913 -24.302900 3.119640 1.785777 -1.057207 -1.057207
20 3562.007550 158289.269201 11404.976412 -463.090676 137509.283913 -26.001667 3.119640 0.391378 -2.451606 10.114764
21 3171.473067 151869.389236 4985.096448 -463.090676 137509.283913 -29.203507 3.119640 5.878424 3.035440 3.035440
22 3009.489710 150435.993598 3551.700809 -463.090676 137509.283913 -30.775362 3.119640 2.753874 -0.089110 -0.089110
23 2898.344599 147443.636432 559.343644 -463.090676 137509.283913 -31.955529 3.119640 2.297392 -0.545592 -0.545592
24 1000.000000 150949.480027 3505.843595 96.252968 137509.283913 -32.148516 3.119640 6.016781 3.719389 3.719389
25 1000.000000 152940.916842 5497.280410 96.252968 137509.283913 -35.654360 3.119640 0.957903 -1.339489 -1.339489
