time T E_n E_d E_v E_b S_v rb r rv bm
0 1000.000000 353366.488989 -17964.771200 0.000000 371331.260189 0.000000 -0.023000 1.676335 1.676335 -1.676335
1 1000.000000 354248.286091 881.797102 -17964.771200 371331.260189 0.000000 -0.023000 4.795975 3.119640 3.119640
2 4074581.591502 360167.308996 6800.820008 -17964.771200 371331.260189 -0.881797 -0.023000 0.412267 -1.264069 878.381874
3 2527306.956113 367616.598241 7449.289245 -11163.951193 353366.488989 -0.883466 1.676335 3.596889 3.184622 -6884.097067
4 838132.785748 352677.640586 -14938.957655 -3714.661948 353366.488989 -0.886414 1.676335 1.405315 -2.191573 -1173.674671
5 4208784.104926 362033.879743 9356.239157 -18653.619602 353366.488989 -0.886414 1.676335 0.708741 -0.696574 457.975953
6 2092504.190570 363381.496860 1347.617117 -9297.380445 352677.640586 -0.888637 1.405315 3.983331 3.274590 -5232.302247
7 1787908.550781 369559.435486 6177.938626 -7949.763328 352677.640586 -0.889281 1.405315 3.511041 -0.472290 100.058675
8 396942.521818 359935.895374 -9623.540112 -1771.824703 352677.640586 -0.892736 1.405315 5.753625 2.242584 -310.857560
9 2552907.655086 356729.967224 -3205.928150 -11395.364815 352677.640586 -0.892736 1.405315 6.180000 0.426375 3952.549933
10 3271132.885102 356016.888617 -713.078607 -14601.292964 352677.640586 -0.892736 1.405315 0.273135 -5.906865 -15965.743816
11 3430884.140491 374206.087942 18189.199324 -15314.371572 352677.640586 -0.892736 1.405315 0.766221 0.493086 -2621.127630
12 1000.000000 357161.677553 -17044.410389 2874.827753 352677.640586 -0.898038 1.405315 0.241760 -0.524462 -1.007981
13 3155676.351899 368210.298847 11048.621295 -14169.582636 352677.640586 -0.898038 1.405315 0.918481 0.676721 8966.782155
14 692363.061472 358939.372539 -9270.926308 -3120.961341 352677.640586 -0.901539 1.405315 5.998447 5.079966 -1062.492059
15 2749052.081100 365211.663521 6272.290981 -12391.887649 352677.640586 -0.901539 1.405315 2.479520 -3.518926 -10419.716021
16 1354161.847220 355644.819616 -9566.843905 -6119.596668 352677.640586 -0.903821 1.405315 2.907948 0.428428 -1676.714760
17 3471140.419062 362584.985289 6940.165673 -15686.440573 352677.640586 -0.903821 1.405315 3.692289 0.784341 3148.660180
18 1931128.761351 357350.479272 -5234.506017 -8746.274900 352677.640586 -0.905820 1.405315 5.769342 2.077053 7742.961351
19 3086878.521810 355990.167485 -1360.311787 -13980.780917 352677.640586 -0.905820 1.405315 2.781034 -2.988308 -856.780392
20 3387227.784415 368324.275652 12334.108167 -15341.092704 352677.640586 -0.905820 1.405315 0.794363 -1.986670 9623.853220
21 661267.164089 354515.694933 -13808.580719 -3006.984537 352677.640586 -0.909461 1.405315 5.776856 4.982493 633.301024
22 3697917.635912 360914.804697 6399.109764 -16815.565256 352677.640586 -0.909461 1.405315 3.259631 -2.517225 -109.567452
23 2286336.574962 350449.915968 -10464.888729 -10416.455492 352677.640586 -0.911192 1.405315 0.166975 -3.092655 -430.683207
24 4583303.894988 370324.492521 19874.576553 -20881.344221 352677.640586 -0.911192 1.405315 3.713100 3.546125 17081.243790
25 219931.575826 366197.868345 -4126.624175 -1006.767668 350449.915968 -0.915528 0.166975 2.444045 -1.269056 -295.183669
26 1121405.656148 362897.531029 -3300.337316 -5133.391843 350449.915968 -0.915528 0.166975 4.731147 2.287102 2854.853231
27 1842374.763248 365518.383627 2620.852599 -8433.729160 350449.915968 -0.915528 0.166975 3.630358 -1.100789 1173.854864
28 1267871.229641 365795.149573 276.765945 -5812.876561 350449.915968 -0.916951 0.166975 5.392990 1.762632 447.868788
29 1207217.238689 357768.445007 -8026.704566 -5536.110616 350449.915968 -0.917169 0.166975 6.074469 0.681479 2086.699001
30 2957539.223496 364407.462851 6639.017844 -13562.815182 350449.915968 -0.917169 0.166975 5.394792 -0.679677 -12150.583274
